feature,benign_fpr_p99,attack_hit_rate,threshold_q99,signal_quality
Active Mean,0.0100038582373367,0.032916666666666664,1391085.9450000117,MIXED
Down/Up Ratio,0.0045609877087581,0.0025166666666666666,2.0,MIXED
Flow Bytes/s,0.0098178360800308,0.00013333333333333334,12333333.3333333,MIXED
Flow Duration,0.0100038582373367,0.0,117771298.15,MIXED
Flow IAT Mean,0.0100038582373367,0.0002,24998409.05000024,MIXED
Flow IAT Std,0.0100038582373367,0.00031666666666666665,37943534.01359954,MIXED
Packet Length Mean,0.0100038582373367,0.27991666666666665,889.8131793001721,MIXED
Packet Length Std,0.0100038582373367,0.35655,1048.7964055605732,MIXED
